測定値1回目,0,0.8,2.4,4.4,6.8,9.8,13.5,17.5,22.4
測定値2回目,0,0.6,1.7,3.5,5.6,8.3,11.5,15.4,19.7
測定値3回目,0,0.6,1.6,3.1,5.1,8.7,12.2,16,20.4
測定値4回目,0,0.8,2.4,4.3,6.4,9.5,13,17,21.5
測定値5回目,0,0.7,1.8,3.5,5.7,8.4,11.6,15.4,19.8
