測定値1回目,0,0.8,2.3,4.5,7.4,11.5,17,22.9
測定値2回目,0,1,2.5,4.5,7.7,12,17.4,23.5
測定値3回目,0,1.1,2.5,5,8.5,13,18.3,24.8
測定値4回目,0,0.8,3,5.8,9.5,13.9,19.5,25
測定値5回目,0,1.2,2.5,5.2,8.7,13.2,18.8,25
