測定値1回目,0,1.5,4,7.5,12.6,19.5
測定値2回目,0,1.5,3.5,6.9,11.8,18
測定値3回目,0,1.7,3.8,7.2,12,18.5
測定値4回目,0,1.3,3,5.9,10.5,16.5
測定値5回目,0,2.2,4.8,9,14.5,21.3
